Section ,D(mm),bf(mm),tw(mm),tf(mm),R(mm),Iy(cm4),Ix(cm4),rx(cm),ry(cm),Zex(cm3),Zey(cm3),Zpx(cm3),Zpy(cm3),A(cm2)
ISMB 225,225,110,6.5,11.8,12,218,3442,9.31,2.34,306,39.7,348,66.3,39.7
ISMB 250,250,125,6.9,12.5,13,335,194.1,10.4,2.65,411,53.5,466,89.7,47.6
ISMB 300,300,140,7.7,13.1,14,486,240.2,12.4,2.88,599,69.5,681,118,58.7
ISMB 350,350,140,8.1,14.2,14,538,288,14.3,2.84,779,76.8,890,130,66.7
ISMB 400,400,140,8.9,16,14,622,334.4,16.1,2.82,1023,88.9,1176,150,78.5
ISMB 450,450,150,9.4,17.4,15,834,379.2,18.1,3.01,1351,111,1553,187,92.3
ISMB 500,500,180,10.2,17.2,17,1370,424.1,20.2,3.52,1809,152,2075,260,111
ISMB 550,550,190,11.2,19.3,18,1834,467.5,22.2,3.73,2360,193,2712,328,132
ISMB 600,600,210,12,20.3,20,2574,510.7,24.2,4.09,3009,245,3455,418,154
ISJB 150,150,50,50,3,4.6,9.22,130.4,5.98,1.01,42.9,3.69,49.6,5.96,9.01
ISJB 175,175,50,50,3.2,4.8,9.65,155,6.84,0.969,54.9,3.86,64.2,6.32,10.3
ISJB 200,200,60,60,3.4,5,17.3,179.5,7.86,1.17,78.1,5.76,90.9,9.35,12.6
ISJB 225,225,80,80,3.7,5,40.5,201.3,8.97,1.58,116,10.1,134,16.3,16.3
ISLB 75,75,50,50,3.7,5,10,51.7,3.07,1.14,19.4,4,22.4,6.4,7.71
ISLB 100,100,50,50,4,6.4,12.7,73,4.06,1.12,33.6,5.09,38.9,8.2,10.2
ISLB(P) 100,100,50,50,4.3,7,14,69.8,4.04,1.12,36.3,5.61,42.3,9.07,11.1
ISLB125,125,75,75,4.4,6.5,43.4,95.5,5.19,1.69,65.1,11.6,73.9,18.4,15.1
ISLB150,150,80,80,4.8,6.8,55.2,116.9,6.17,1.75,91.7,13.8,105,22.1,18.1
ISLB175,175,90,90,5.1,6.9,79.6,141.6,7.17,1.93,125,17.7,143,28.3,21.3
ISLB(P) 175,175,80,80,5.2,7.7,57.3,138.6,7.1,1.65,122,14.3,140,23.9,21.2
ISLB 200,200,100,5.4,7.3,9.5,115,165.7,8.19,2.14,170,23.1,193,36.9,25.3
ISLB(P) 200,220,100,5.6,8,9.5,113,181.9,8.95,2.01,204,22.6,233,37.9,28
ISLB 225,225,100,5.8,8.6,12,113,180.3,9.14,1.94,222,22.6,255,39.2,29.9
ISLB 250,250,125,6.1,8.2,13,193,202.6,10.2,2.33,297,31,339,55.4,35.5
ISLB 275,275,140,6.4,8.8,14,287,223.7,11.3,2.61,391,41,444,73.5,42
ISLB 300,300,150,6.7,9.4,15,376,245.1,12.4,2.8,489,50.2,554,90,48.1
ISLB(P) 300,300,140,7,7,11.6,414,241.4,12.4,2.8,542,59.2,615,102,52.9
ISLB 325,325,165,7,7,9.8,511,266.5,13.4,3.05,608,61.9,688,112,54.9
ISLB 350,350,165,7.4,11.4,16,632,288.3,14.5,3.17,752,76.6,851,135,63
ISLB 400,400,165,8,8,12.5,716,336.2,16.3,3.15,965,86.8,1099,151,72.4
ISLB 450,450,170,8.6,13.4,16,853,384,18.2,3.2,1224,100,1401,175,83.1
ISLB 500,500,180,9.2,14.1,17,1064,430.2,20.1,3.34,1543,118,1773,207,95.5
ISLB 550,550,190,9.9,15,18,1335,476,22,3.48,1933,141,2228,246,110
ISLB 600,600,210,10.5,15.5,20,1822,520.2,24,3.79,2429,174,2799,307,127
ISWB 150,150,100,5.4,7,8,94.8,116.6,6.22,2.09,112,19,127,31.9,21.7
ISWB 175,175,125,5.8,7.4,8,189,139.5,7.33,2.59,173,30.2,194,51.3,28.1
ISWB 200,200,140,6.1,9,9,329,158.8,8.45,2.99,262,47,294,78.7,36.7
ISWB 200*,203,152,8.9,16.5,15.5,810,133,8.48,3.49,471,107,539,175,66.4
ISWB 225,225,150,6.4,9.9,9,449,181.4,9.52,3.22,348,59.8,390,99.8,43.2
ISWB 250,250,200,6.7,9,10,857,203.8,10.7,4.06,475,85.7,528,150,52
ISWB 300,300,200,7.4,10,11,990,250.1,12.7,4.02,655,99,731,171,61.3
ISWB 350,350,200,8,8,11.4,1176,295.5,14.6,4.03,887,118,995,200,72.5
ISWB 400,400,200,8.6,13,13,1388,340.5,16.6,4.04,1171,139,1320,234,85
ISWB 450,450,200,9.2,15.4,15,1707,382.2,18.6,4.1,1562,171,1764,284,101
ISWB 500,500,250,9.9,14.7,15,2988,431,20.8,4.96,2091,239,2353,407,121
ISWB 550,550,250,10.5,17.6,16,3741,473.4,22.9,5.11,2724,299,3066,500,143
ISWB 600,600,250,11.2,21.3,17,4703,514.2,25,5.25,3540,376,3987,619,170
ISWB 600*,600,250,11.8,23.6,18,5298,507.9,25,5.35,3854,424,4342,693,185
ISHB 550,550,190,9.9,15,18,,,,,,,,,
